"","ostreatus1 Last (mV)","ostreatus2 Last (mV)","pleurotus1 Last (mV)","pleurotus2 Last (mV)"
"1674655436.404","10.59","-6.39","13.89","12.30"
"1674655436.464","10.59","-6.38","13.89","12.30"
"1674655436.524","10.59","-6.38","13.89","12.29"
"1674655436.584","10.59","-6.37","13.89","12.29"
"1674655436.644","10.59","-6.37","13.89","12.29"
"1674655436.704","10.59","-6.36","13.89","12.29"
"1674655436.764","10.59","-6.36","13.88","12.28"
"1674655436.824","10.59","-6.35","13.88","12.28"
"1674655436.884","10.58","-6.35","13.88","12.28"
"1674655436.944","10.58","-6.34","13.88","12.28"
"1674655437.004","10.58","-6.34","13.88","12.27"
"1674655437.064","10.58","-6.33","13.88","12.27"
"1674655437.124","10.58","-6.33","13.88","12.27"
"1674655437.184","10.58","-6.32","13.88","12.26"
"1674655437.244","10.58","-6.31","13.88","12.26"
"1674655437.304","10.58","-6.31","13.88","12.26"
"1674655437.364","10.57","-6.30","13.87","12.25"
"1674655437.424","10.57","-6.30","13.87","12.25"
"1674655437.484","10.57","-6.29","13.87","12.25"
"1674655437.544","10.57","-6.29","13.87","12.24"
"1674655437.604","10.57","-6.28","13.87","12.24"
"1674655437.664","10.57","-6.28","13.87","12.24"
"1674655437.724","10.57","-6.27","13.87","12.23"
"1674655437.784","10.57","-6.27","13.87","12.23"
"1674655437.844","10.57","-6.26","13.87","12.23"
"1674655437.904","10.57","-6.26","13.87","12.22"
"1674655437.964","10.56","-6.25","13.86","12.22"
"1674655438.024","10.56","-6.24","13.86","12.22"
"1674655438.084","10.56","-6.24","13.86","12.21"
"1674655438.144","10.56","-6.23","13.86","12.21"
"1674655438.204","10.56","-6.23","13.86","12.21"
"1674655438.264","10.56","-6.22","13.86","12.20"
"1674655438.324","10.56","-6.22","13.86","12.20"
"1674655438.384","10.56","-6.21","13.86","12.20"
"1674655438.444","10.55","-6.20","13.85","12.19"
"1674655438.504","10.55","-6.20","13.85","12.19"
"1674655438.564","10.55","-6.19","13.85","12.19"
"1674655438.624","10.55","-6.18","13.85","12.18"
"1674655438.684","10.55","-6.18","13.85","12.18"
"1674655438.744","10.55","-6.17","13.85","12.18"
"1674655438.804","10.55","-6.17","13.85","12.18"
"1674655438.864","10.55","-6.16","13.84","12.17"
